eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,ratio between space and charecters,function,No. of encoded charecters,ratio between encoded & chareceters,No. of backslas (/),No. of pipe characters,percentage between pipe (|) charcters,No. of Digite,percentage between digit and character,percentage between hexa/octa and characters,No. of % character,No. of \ charecters,No. of =,ratio beween = and charecters,No. of ? Charecters,Number of ! Charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,"No of ',' charecters",No. of '#' charecters,No. of '+' charecters,No.of '.' charecters,No. of ' charecters,Found / Not Found
0,2,2,17,0,2,0,2,0,0,0,0,1,0,20,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,121,0,0,0,0,330,0.014689,155,0,0,50,164,0.007299,195,0.008679,0,2,32,569,0.025327,65,152,0,1,257,916,10,88,890,2,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,687,0,15,240,0.034281,0,6519,0.931153,12,0,0,59,0.008427,0,2,0,43,0.006142,3,0,0,0,56,13,0,22,32,32,1
1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,4,49,0.017773,2,2333,0.846209,9,0,0,504,0.182807,0,7,28,65,0.023576,0,3,0,0,70,20,40,25,27,12,1
0,0,0,0,0,0,24,0,0,0,6,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,64,0.005682,59,0,0,31,80,0.007104,87,0.007725,0,1,10,227,0.020156,39,57,0,0,31,335,21,47,581,26,0
0,0,0,0,0,0,0,3,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,151,0.011674,114,0,0,38,80,0.006184,401,0.031001,0,11,70,443,0.034248,92,38,0,0,83,567,20,59,452,0,0
2,7,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,69,0.020628,3,2506,0.749178,8,0,0,365,0.109118,0,13,0,114,0.034081,0,15,0,0,120,46,57,46,59,16,1
1,0,1,5,0,0,0,6,0,0,7,2,2,0,2,0,0,2,0,0,2,1,0,0,0,0,0,3,0,0,0,76,0,0,0,0,259,0.015769,69,0,0,6,164,0.009985,136,0.008281,0,0,6,541,0.032993,61,83,0,2,155,467,1,60,713,20,0
1,6,7,2,0,0,0,19,2,1,6,3,15,0,45,0,2,0,0,0,8,33,5,0,0,0,2,5,0,0,0,294,2,111,6,0,1422,0.014642,653,0,0,217,1325,0.013643,1267,0.013046,0,8,266,3512,0.036163,539,709,2,0,736,3656,13,554,3580,44,0
0,25,0,0,0,0,0,0,2,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,14,0,2395,0.298889,34,2298,0.286784,18,22,0.002745,1048,0.130788,0,3,25,113,0.014102,19,4,0,0,133,291,0,31,96,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,698,0,0,433,0.016961,0,5745,0.225382,37,0,0,6021,0.235841,0,24,0,850,0.033294,2,3,0,0,88,845,0,1330,1016,2386,1
0,0,6,2,0,0,0,11,1,4,6,3,15,23,8,0,1,0,0,0,0,10,2,0,0,2,0,1,24,10,0,233,4,188,0,0,1172,0.017515,386,0,0,212,226,0.003377,1613,0.024105,0,38,0,2062,0.030815,343,305,1,0,516,1681,2,288,2524,97,0
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,3,15,0.003946,7,0,0,0,0,0,851,0.223889,0,2,0,104,0.027361,24,0,0,0,25,242,0,5,121,78,1
1,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,336,0.032445,5,10026,0.968134,20,695,0.067111,3409,0.329181,0,2,18,526,0.050792,2,3,0,0,363,237,0,53,7,26,1
0,16,3,0,0,0,0,0,2,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,481,0,0,380,0.010473,106,0,0,81,214,0.005898,565,0.015572,0,9,20,945,0.026045,186,160,0,0,211,1219,8,318,1358,143,0
1,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,379,0.035213,5,10443,0.970268,23,706,0.065595,3488,0.324073,0,2,18,560,0.052031,2,1,0,0,438,243,0,58,7,26,1
1,0,1,0,0,0,1,1,1,5,6,0,2,4,1,0,0,0,0,0,2,5,2,9,0,1,0,0,0,3,0,63,0,0,27,59,201,0.004063,110,15054,0.304361,143,561,0.011342,14785,0.298922,0,1,109,534,0.010796,86,157,2,0,260,893,5,128,31,3902,1
