No. of Digite,number of space,"Number(fromcharcode,charcodeAt,charAt)",Long string,longest string length,hexa value,eval(),concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,function,var _,encodeURIComponent,decodeURIComponent,/,|,%,no of( \),no of =,;,#,no of +,., no of ',Found / Not Found
1106,70534,3,0,0,13,0,4,1,0,2,0,13,3,1,8,0,10,0,38,0,2,0,0,0,2,19,7,0,0,2,1,2,0,9,0,282,642,0,2,0,177,1080,8,257,3187,656,11,513,3105,33,0
11208,342,6,20,13992,3874,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,62,62,52,0,6,24,30,30,3892,408,388,0,158,8,644,1
158,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,20,0,0,0,137,10,2,0,93,102,4,34,387,287,0
7114,14,2,1,9042,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,0,0,5,0,0,6,21,24,0,7,4,12,1
81,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,29,0,0,0,14,48,0,4,207,95,3,45,406,0,0
165,116,0,2,208,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,3,0,0,0,1,0,78,0,118,109,0,6,21,154,1
81,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,29,0,0,0,14,48,0,4,208,98,3,45,406,0,0
1597,16,0,8,1852,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,0,705,14,8,0,0,0,0,1
0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,13,1,3,17,24,0
54,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,1,12,4,0,12,19,9,1,10,15,4,1
22097,16327,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2177,3735,11,13,3,4167,2128,603,67,15103,4947,34,2000,16561,791,0
5186,19,0,2,12592,3178,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,3,2,1,3178,8,16,0,4,1,0,1
297,5102,0,0,0,0,0,0,8,0,0,0,0,0,49,15,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,69,0,0,0,363,40,2,2,378,426,95,109,751,1205,0
1551,43,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,1,14,4,9,0,87,75,0,33,4,124,1
4099,1903,0,5,682,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,1096,0,0,0,112,526,6,5,3393,992,3,429,1998,17,0
64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,0,0,0,4,0,1,0,34,15,0,4,12,12,1
30223,16327,0,8,1275,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3326,5465,16,10,5,1461,3097,140,175,21136,7566,502,2232,26331,138,0
2200,296,1,1,4031,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,1,56,19,0,5,10,0,1
2431,2254,3,3,375,0,0,1,60,0,0,6,1,4,101,62,0,30,10,25,0,2,0,0,9,0,15,1,0,0,0,0,0,1,4,0,538,841,0,0,1,398,729,89,30,3621,968,168,796,6952,255,0
2889,753,3,1,82,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,10,13,0,0,6,0,0,118,64,67,0,4,1,120,1
174,3799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,27,0,0,0,163,51,1,1,165,188,0,23,170,17,0
69,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,10,0,0,0,4,2,1,0,49,46,0,4,52,12,1
827,13137,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,557,0,0,0,480,30,20,232,685,1516,547,637,3124,3386,0
146,87,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,34,0,0,0,18,12,1,0,127,134,0,43,224,24,1
22,1930,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,54,0,0,0,55,12,1,7,224,251,636,35,437,577,0
36,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,8,3,0,2,0,9,0,0,0,48,19,0,28,32,34,1
240,378,0,1,72,0,1,1,0,0,0,0,0,1,1,3,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,91,0,0,0,70,32,5,60,319,381,0,184,457,42,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,160,17,8,0,389,303,2,1
805,351,0,7,1006,0,0,3,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,304,0,0,0,181,123,90,10,823,227,7,218,2642,41,0
2734,1376,2,0,0,10,1,4,2,2,0,2,0,9,9,5,5,5,6,4,0,7,0,0,2,0,2,0,0,0,7,0,3,12,5,0,291,649,0,2,0,103,444,2,80,2464,1933,3,292,5311,25,1
467,11126,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,0,0,0,301,14,1,0,272,287,3,65,512,412,0
731,52,0,2,396,224,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,2,0,224,27,18,0,14,0,0,1
805,351,0,7,1006,0,0,3,0,0,0,0,0,1,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,304,0,0,0,181,123,90,10,823,227,7,218,2642,41,0
660,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,230,0,0,0,3,0,2,0,26,723,0,15,28,462,1
843,606,17,3,387,0,0,5,0,0,1,0,0,0,19,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,237,0,0,0,102,305,20,24,1542,326,9,422,2441,153,0
358,98,0,1,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,2,0,136,32,0,237,29,448,1
313,3275,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,125,0,0,0,415,170,10,193,387,435,3,62,919,58,0
360,98,0,1,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,0,139,32,0,225,29,424,1
828,572,17,3,387,0,0,5,0,0,1,0,0,0,18,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,235,0,0,0,109,301,20,24,1483,322,10,420,2395,149,0
44,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,14,0,2,0,29,40,0,9,36,8,1
261,1180,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,27,0,0,0,97,10,7,7,118,132,2,36,385,246,0
