No. of Digite,number of space,"Number(fromcharcode,charcodeAt,charAt)",Long string,longest string length,hexa value,eval(),concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,function,var _,encodeURIComponent,decodeURIComponent,/,|,%,no of( \),no of =,;,#,no of +,., no of ',Found / Not Found
1062,15757,0,0,0,0,0,0,20,0,0,11,0,4,43,24,0,29,6,7,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,367,328,0,0,1,701,199,35,8,1731,1878,57,506,3219,4561,0
277,208,3,1,164,0,0,0,7,0,0,0,0,0,5,10,0,1,1,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,125,0,0,0,56,104,43,2,492,128,1,116,1022,20,0
273,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,4,19,2,0,290,91,0,102,129,0,0
1132,20699,1,0,0,0,0,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,314,272,0,0,0,438,69,7,21,1304,1586,619,331,2016,1570,0
204,223,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38,116,0,0,0,40,78,0,21,391,94,3,58,1189,21,0
7953,4435,0,6,1013,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,1633,0,1,0,311,815,69,9,5250,1818,23,812,6473,56,0
258,0,0,1,158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,131,0,0,1,0,0,13,6,1
1476,337,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,70,0,0,0,78,72,7,0,342,169,0,81,546,9,0
1235,1137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,45,0,0,0,14,0,5,2,309,279,0,32,54,149,1
1452,57021,0,0,0,2,0,1,5,6,6,3,0,16,25,77,0,54,21,72,0,1,2,0,5,0,0,2,0,0,0,0,0,0,0,0,1276,1089,0,0,0,2756,782,112,164,6923,6157,291,877,12021,14193,0
2770,51,0,16,6432,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,7,0,0,4,0,0,10,23,43,0,34,2158,4,1
50,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,0,0,0,51,10,1,0,131,134,5,13,271,283,0
45,10651,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,57,0,0,2,93,14,1,1,193,218,19,50,476,424,0
120,13249,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,7,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,105,0,0,0,131,20,1,58,533,597,72,281,697,714,0
58,149,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,57,0,0,2,27,30,0,27,189,60,19,20,433,28,0
285,559,7,0,0,0,3,0,0,0,0,0,0,1,3,0,10,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,30,0,0,44,3,35,4,88,131,0,109,141,222,1
1317,1062,1,0,0,0,0,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,212,264,0,0,0,178,145,7,19,1287,373,615,328,2107,132,0
