eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var_,number of space,function,No. of backslas (/),No. of pipe characters,No. of Digite,No. of % character,No. of \ charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,No. of '#' charecters,No. of '+' charecters,No. of ' charecters,Found / Not Found
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,701,0,0,0,0,15,0,979,387,0,0,0,2,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,79,30519,120,91,85,308,10,0,0,0,964,0,124,904,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,21,0,0,0,0,1,0,5,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,4,4586,58,99,13,88,2,3,0,0,201,3,46,281,0
2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2374,0,0,4,1,4,0,1291,0,0,0,0,18,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,5,4109,28,125,8,32,0,0,0,0,113,0,5,153,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4063,0,0,600,2,26,0,2177,0,0,0,0,19,0,10,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,1300,16,91,12,221,20,0,0,0,166,0,40,45,0
0,12,2,4,1,1,1,0,13,0,3,3,36,38,13,6,2,0,0,0,2,4,2,0,0,4,0,4,0,1,0,243,0,0,0,0,35496,272,154,388,1530,24,70,5,6,1164,5,348,9,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,30,2,3,3,422,0,0,0,0,18,0,14,6,1
4,4,6,2,0,0,0,16,2,1,6,3,15,0,40,0,2,0,0,0,8,33,5,0,3,0,1,5,0,9,0,292,0,0,6,0,74147,618,220,1332,1263,8,266,2,0,735,13,554,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,850,0,0,0,0,1,0,20,2,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4774,52,40,119,70,1,38,0,0,63,10,47,29,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,7418,2041,3,28,8,5,2,3769,1,2045,0,0,26,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,58,20,25,18,137,2,0,0,0,17,4,32,16,0
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,2189,59,449,14,236,3,4,2,0,405,22,68,543,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,118,8,5,4,1916,7,0,0,1,64,0,28,0,1
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,44,0,0,245,58,196,32,258,2,5,2,0,52,22,66,36,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1481,101,24,64,321,2,0,0,0,128,74,464,102,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,28,8,5,2,363,1,0,0,0,25,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,144,29,28,38,54,0,0,0,0,27,0,15,14,0
0,6,6,2,0,0,0,12,1,1,7,0,15,0,44,0,2,2,0,0,6,17,8,0,0,0,0,5,0,9,0,284,0,0,10,1,76291,621,267,1363,1217,8,0,2,0,748,11,563,61,0
6,1,8,6,4,6,1,22,1,0,0,2,5,2,19,1,0,1,0,0,3,14,7,2,0,0,0,1,0,23,2,93,0,0,12,1,224,71,64,78,185,0,112,0,0,242,0,105,26,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122,0,0,0,0,284,180,48,234,597,4,0,0,0,241,3,177,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,282,0,0,139,58,83,42,222,1,0,0,0,137,0,163,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5462,1365,0,0,0,0,0,2261,0,1365,0,0,0,0,0,0,1
1,29,5,14,3,3,2,14,11,8,13,1,34,54,57,0,8,0,1,20,9,18,16,0,0,1,2,14,0,4,0,718,8,308,14,0,2391,1065,544,1050,2574,41,0,10,8,3539,67,799,91,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4211,34,5,20,115,7,0,0,0,12,3,72,2,0
0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3534,28,20,18,88,1,3,0,0,50,3,34,18,0
0,0,0,0,4,1,1,14,2,8,9,0,19,3,13,0,0,0,0,4,0,4,0,11,3,0,0,3,0,2,4,183,0,0,0,0,605,146,210,210,1310,9,23,3,0,491,348,399,164,1
1,47,9,22,1,1,3,8,56,6,26,0,15,30,39,9,7,0,2,16,9,27,5,0,0,12,0,16,0,4,21,618,1,40,39,6,3832,1274,484,829,3481,96,414,18,3,3112,106,765,144,0
